episode_id,episode_title,air_date,season,episode
123,"Autumn Woods","October 8 1986",10,6
124,"Winter Solitude","October 15 1986",10,7
125,"Golden Sunset","October 22 1986",10,8
126,"Mountain Oval","October 29 1986",10,9
127,"Ocean Sunset","November 5 1986",10,10
128,"Triple View","November 12 1986",10,11
129,"Winter Frost","November 19 1986",10,12
130,"Lakeside Cabin","November 26 1986",10,13
131,"Mountain Stream","December 31 1986",11,1
132,"Country Cabin","January 7 1987",11,2
133,"Daisy Delight","January 14 1987",11,3
134,"Hidden Stream","January 21 1987",11,4
135,"Towering Glacier","January 28 1987",11,5
136,"Oval Barn","February 4 1987",11,6
137,"Lakeside Path","February 11 1987",11,7
138,"Sunset Oval","February 18 1987",11,8
139,"Winter Barn","February 25 1987",11,9
140,"Sunset Over the Waves","March 4 1987",11,10
141,"Golden Glow","March 11 1987",11,11
142,"Roadside Barn","March 18 1987",11,12
143,"Happy Accident","March 25 1987",11,13
144,"Golden Knoll","April 29 1987",12,1
145,"Mountain Reflections","May 6 1987",12,2
146,"Secluded Mountain","May 13 1987",12,3
147,"Bright Autumn Trees","May 20 1987",12,4
148,"Black Seascape","May 27 1987",12,5
149,"Steep Mountains","June 3 1987",12,6
150,"Quiet Mountain River","June 10 1987",12,7
151,"Evening Waterfall","June 17 1987",12,8
152,"Tropical Seascape","June 24 1987",12,9
153,"Mountain at Sunset","July 1 1987",12,10
154,"Soft Mountain Glow","July 8 1987",12,11
155,"Mountain in an Oval","July 15 1987",12,12
156,"Winter Mountain","July 22 1987",12,13
157,"Rolling Hills","September 2 1987",13,1
158,"Frozen Solitude","September 9 1987",13,2
159,"Meadow Brook","September 16 1987",13,3
160,"Evening Sunset","September 23 1987",13,4
161,"Mountain View","September 30 1987",13,5
162,"Hidden Creek","October 7 1987",13,6
163,"Peaceful Haven","October 14 1987",13,7
164,"Mountain Exhibition","October 21 1987",13,8
165,"Emerald Waters","October 28 1987",13,9
166,"Mountain Summit","November 4 1987",13,10
167,"Cabin Hideaway","November 11 1987",13,11
168,"Oval Essence","November 18 1987",13,12
169,"Lost Lake","November 25 1987",13,13
170,"Distant Mountains","December 30 1987",14,1
171,"Meadow Brook Surprise","January 6 1988",14,2
172,"Mountain Moonlight Oval","January 13 1988",14,3
173,"Snowy Solitude","January 20 1988",14,4
174,"Mountain River","January 27 1988",14,5
175,"Graceful Mountains","February 3 1988",14,6
176,"Windy Waves","February 10 1988",14,7
177,"On a Clear Day","February 17 1988",14,8
178,"Riverside Escape Oval","February 24 1988",14,9
179,"Surprising Falls","March 2 1988",14,10
180,"Shadow Pond","March 9 1988",14,11
181,"Misty Forest","March 16 1988",14,12
182,"Natural Wonder","March 23 1988",14,13
183,"Splendor of Winter","April 27 1988",15,1
184,"Colors of Nature","May 4 1988",15,2
185,"Grandpa's Barn","May 11 1988",15,3
186,"Peaceful Reflections","May 18 1988",15,4
187,"Hidden Winter Moon Oval","May 25 1988",15,5
188,"Waves of Wonder","June 1 1988",15,6
189,"Cabin by the Pond","June 8 1988",15,7
190,"Fall Stream","June 15 1988",15,8
191,"Christmas Eve Snow","June 22 1988",15,9
192,"Forest Dawn Oval","June 29 1988",15,10
193,"Pathway to Autumn","July 6 1988",15,11
194,"Deep Forest Lake","July 13 1988",15,12
195,"Peaks of Majesty","July 20 1988",15,13
196,"Two Seasons","August 17 1988",16,1
197,"Nestled Cabin","August 24 1988",16,2
198,"Wintertime Discovery","August 31 1988",16,3
199,"Mountain Mirage","September 7 1988",16,4
200,"Double Oval Fantasy","September 14 1988",16,5
201,"Contemplative Lady","September 21 1988",16,6
202,"Deep Woods","September 28 1988",16,7
203,"High Tide","October 5 1988",16,8
204,"Barn in Snow Oval","October 12 1988",16,9
205,"That Time of Year","October 19 1988",16,10
206,"Waterfall Wonder","October 26 1988",16,11
207,"Mighty Mountain Lake","November 2 1988",16,12
208,"Wooded Stream Oval","November 9 1988",16,13
209,"Golden Mist Oval","January 4 1989",17,1
210,"Old Place Home","January 11 1989",17,2
211,"Soothing Vista","January 18 1989",17,3
212,"Stormy Seas","January 25 1989",17,4
213,"Country Time","February 1 1989",17,5
214,"A Mild Winter's Day","February 8 1989",17,6
215,"Spectacular Waterfall","February 15 1989",17,7
216,"View From the Park","February 22 1989",17,8
217,"Lake View","March 1 1989",17,9
218,"Old Country Mill","March 8 1989",17,10
219,"Morning Walk","March 15 1989",17,11
220,"Nature's Splendor","March 22 1989",17,12
221,"Mountain Beauty","March 29 1989",17,13
222,"Half Oval Vignette","July 5 1989",18,1
223,"Absolutely Autumn","July 12 1989",18,2
224,"Mountain Seclusion","July 19 1989",18,3
225,"Crimson Oval","July 26 1989",18,4
226,"Autumn Exhibition","August 2 1989",18,5
227,"Majestic Peaks","August 9 1989",18,6
228,"Golden Morning Mist","August 16 1989",18,7
229,"Winter Lace","August 23 1989",18,8
230,"Seascape Fantasy","August 30 1989",18,9
231,"Double Oval Stream","September 6 1989",18,10
232,"Enchanted Forest","September 13 1989",18,11
233,"Southwest Serenity","September 20 1989",18,12
234,"Rippling Waters","September 27 1989",18,13
235,"Snowfall Magic","January 3 1990",19,1
236,"Quiet Mountain Lake","January 10 1990",19,2
237,"Final Embers of Sunlight","January 17 1990",19,3
238,"Snowy Morn","January 24 1990",19,4
239,"Camper's Haven","January 31 1990",19,5
240,"Waterfall in the Woods","February 7 1990",19,6
241,"Covered Bridge Oval","February 14 1990",19,7
242,"Scenic Seclusion","February 21 1990",19,8
243,"Ebb Tide","February 28 1990",19,9
244,"After the Rain","March 7 1990",19,10
245,"Winter Elegance","March 14 1990",19,11
246,"Evening's Peace","March 21 1990",19,12
247,"Valley of Tranquility","March 28 1990",19,13
248,"Mystic Mountain","April 4 1990",20,1
249,"New Day's Dawn","April 11 1990",20,2
250,"Pastel Winter","April 18 1990",20,3
251,"Hazy Day","April 25 1990",20,4
252,"Divine Elegance","May 2 1990",20,5
253,"Cliffside","May 9 1990",20,6
254,"Autumn Fantasy","May 16 1990",20,7
255,"Old Oak Tree","May 23 1990",20,8
256,"Winter Paradise","May 30 1990",20,9
257,"Days Gone By","June 6 1990",20,10
258,"Change of Seasons","June 13 1990",20,11
259,"Hidden Delight","June 20 1990",20,12
260,"Double Take","June 27 1990",20,13
261,"Valley View","September 5 1990",21,1
262,"Tranquil Dawn","September 12 1990",21,2
263,"Royal Majesty","September 19 1990",21,3
264,"Serenity","September 26 1990",21,4
265,"Cabin at Trial's End","October 3 1990",21,5
266,"Mountain Rhapsody","October 10 1990",21,6
267,"Wilderness Cabin","October 17 1990",21,7
268,"By the Sea","October 24 1990",21,8
269,"Indian Summer","October 31 1990",21,9
270,"Blue Winter","November 7 1990",21,10
271,"Desert Glow","November 14 1990",21,11
272,"Lone Mountain","November 21 1990",21,12
273,"Florida's Glory","November 28 1990",21,13
274,"Autumn Images","January 1 1991",22,1
275,"Hint of Springtime","January 8 1991",22,2
276,"Around the Bend","January 15 1991",22,3
277,"Countryside Oval","January 22 1991",22,4
278,"Russet Winter","January 29 1991",22,5
279,"Purple Haze","February 5 1991",22,6
280,"Dimensions","February 12 1991",22,7
281,"Deep Wilderness Home","February 19 1991",22,8
282,"Haven in the Valley","February 26 1991",22,9
283,"Wintertime Blues","March 5 1991",22,10
284,"Pastel Seascape","March 12 1991",22,11
285,"Country Creek","March 19 1991",22,12
286,"Silent Forest","March 26 1991",22,13
287,"Frosty Winter Morn","September 3 1991",23,1
288,"Forest Edge","September 10 1991",23,2
289,"Mountain Ridge Lake","September 17 1991",23,3
290,"Reflections of Gold","September 24 1991",23,4
291,"Quiet Cove","October 1 1991",23,5
292,"River's Peace","October 8 1991",23,6
293,"At Dawn's Light","October 15 1991",23,7
294,"Valley Waterfall","October 22 1991",23,8
295,"Toward Day's End","October 29 1991",23,9
296,"Falls in the Glen","November 5 1991",23,10
297,"Frozen Beauty in Vignette","November 12 1991",23,11
298,"Crimson Tide","November 19 1991",23,12
299,"Winter Bliss","November 26 1991",23,13
300,"Grey Mountain","January 7 1992",24,1
301,"Wayside Pond","January 14 1992",24,2
302,"Teton Winter","January 21 1992",24,3
303,"Little Home in the Meadow","January 28 1992",24,4
304,"Pretty Autumn Day","February 4 1992",24,5
305,"Mirrored Images","February 11 1992",24,6
306,"Back-Country Path","February 18 1992",24,7
307,"Graceful Waterfall","February 25 1992",24,8
308,"Icy Lake","March 3 1992",24,9
309,"Rowboat on the Beach","March 10 1992",24,10
310,"Portrait of Winter","March 17 1992",24,11
311,"Footbridge","March 24 1992",24,12
312,"Snowbound Cabin","March 31 1992",24,13
313,"Hide-a-Way Cove","August 25 1992",25,1
314,"Enchanted Falls Oval","September 1 1992",25,2
315,"Not Quite Spring","September 8 1992",25,3
316,"Splashes of Autumn","September 15 1992",25,4
317,"Summer in the Mountains","September 22 1992",25,5
318,"Oriental Falls","September 29 1992",25,6
319,"Autumn Palette","October 6 1992",25,7
320,"Cypress Swamp","October 13 1992",25,8
321,"Downstream View","October 20 1992",25,9
322,"Just Before the Storm","October 27 1992",25,10
323,"Fisherman's Paradise","November 3 1992",25,11
324,"Desert Hues","November 10 1992",25,12
325,"The Property Line","November 17 1992",25,13
326,"In the Stillness of Morning","December 1 1992",26,1
327,"Delightful Meadow Home","December 8 1992",26,2
328,"First Snow","December 15 1992",26,3
329,"Lake in the Valley","December 22 1992",26,4
330,"A Trace of Spring","December 29 1992",26,5
331,"An Arctic Winter Day","January 5 1993",26,6
332,"Snow Birch","January 12 1993",26,7
333,"Early Autumn","January 19 1993",26,8
334,"Tranquil Wooded Stream","January 26 1993",26,9
335,"Purple Mountain Range","February 2 1993",26,10
336,"Storm's a Comin'","February 9 1993",26,11
337,"Sunset Aglow","February 16 1993",26,12
338,"Evening at the Falls","February 23 1993",26,13
339,"Twilight Beauty","March 2 1993",27,1
340,"Angler's Haven","March 9 1993",27,2
341,"Rustic Winter Woods","March 16 1993",27,3
342,"Wilderness Falls","March 23 1993",27,4
343,"Winter at the Farm","March 30 1993",27,5
344,"Daisies at Dawn","April 6 1993",27,6
345,"A Spectacular View","April 13 1993",27,7
346,"Daybreak","April 20 1993",27,8
347,"Island Paradise","April 27 1993",27,9
348,"Sunlight in the Shadows","May 4 1993",27,10
349,"Splendor of a Snowy Winter","May 11 1993",27,11
350,"Forest River","May 18 1993",27,12
351,"Golden Glow of Morning","May 20 1993",27,13
352,"Fisherman's Trail","May 25 1993",28,1
353,"A Warm Winter","June 1 1993",28,2
354,"Under Pastel Skies","June 8 1993",28,3
355,"Golden Rays of Sunlight","June 15 1993",28,4
356,"The Magic of Fall","June 22 1993",28,5
357,"Glacier Lake","June 29 1993",28,6
358,"The Old Weathered Barn","July 6 1993",28,7
359,"Deep Forest Falls","July 13 1993",28,8
360,"Winter's Grace","July 20 1993",28,9
361,"Splendor of Autumn","July 27 1993",28,10
362,"Tranquil Seas","August 3 1993",28,11
363,"Mountain Serenity","August 10 1993",28,12
364,"Home Before Nightfall","August 17 1993",28,13
365,"Island in the Wilderness","August 24 1993",29,1
366,"Autumn Oval","August 31 1993",29,2
367,"Seasonal Progression","September 7 1993",29,3
368,"Light at the Summit","September 14 1993",29,4
369,"Countryside Barn","September 21 1993",29,5
370,"Mountain Lake Falls","September 28 1993",29,6
371,"Cypress Creek","October 5 1993",29,7
372,"Trapper's Cabin","October 12 1993",29,8
373,"Storm on the Horizon","October 19 1993",29,9
374,"Pot O' Posies","October 26 1993",29,10
375,"A Perfect Winter Day","November 2 1993",29,11
376,"Aurora's Dance","November 9 1993",29,12
377,"Woodsman's Retreat","November 16 1993",29,13
378,"Babbling Brook","November 23 1993",30,1
379,"Woodgrain View","November 30 1993",30,2
380,"Winter's Peace","December 7 1993",30,3
381,"Wilderness Trail","December 14 1993",30,4
382,"A Copper Winter","December 21 1993",30,5
383,"Misty Foothills","December 28 1993",30,6
384,"Through the Window","January 4 1994",30,7
385,"Home in the Valley","January 11 1994",30,8
386,"Mountains of Grace","January 18 1994",30,9
387,"Seaside Harmony","January 25 1994",30,10
388,"A Cold Spring Day","February 1 1994",30,11
389,"Evening's Glow","February 8 1994",30,12
390,"Blue Ridge Falls","February 15 1994",30,13
391,"Reflections of Calm","February 22 1994",31,1
392,"Before the Snowfall","March 1 1994",31,2
393,"Winding Stream","March 8 1994",31,3
394,"Tranquility Cove","March 15 1994",31,4
395,"Cabin in the Hollow","March 22 1994",31,5
396,"View From Clear Creek","March 29 1994",31,6
397,"Bridge to Autumn","April 5 1994",31,7
398,"Trail's End","April 12 1994",31,8
399,"Evergreen Valley","April 19 1994",31,9
400,"Balmy Beach","April 26 1994",31,10
401,"Lake at the Ridge","May 3 1994",31,11
402,"In the Midst of Winter","May 10 1994",31,12
403,"Wilderness Day","May 17 1994",31,13
